tender_id,buyer_id,buyer_name,tender_title,category,sub_category,location,state,estimated_value_inr,procurement_method,award_criteria,publication_date,submission_deadline,technical_evaluation_date,financial_evaluation_date,award_date,contract_duration_days,status
T078,B06,Jal Shakti / State Water & Sewerage Board,District Sports Stadium for Jal Shakti / State Water & Sewerage Board at New Delhi,Civil Construction,District Sports Stadium,New Delhi,Himachal Pradesh,8882763,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-26 11:30:00,2023-05-31 04:30:00,2023-06-10,2023-06-13,2023-06-23,180,AWARDED
T079,B07,Education Engineering Directorate,Rural Water Supply Pipeline for Education Engineering Directorate at Shimla,Water & Sanitation,Rural Water Supply Pipeline,Shimla,Himachal Pradesh,84082934,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-04-27 11:30:00,2023-06-01 04:30:00,2023-06-06,2023-06-13,2023-06-18,365,AWARDED
T080,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Solan,Electrical & Energy,Smart Metering System,Solan,Himachal Pradesh,29732134,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-01 11:30:00,2023-06-05 04:30:00,2023-06-14,2023-06-18,2023-06-22,180,AWARDED
T081,B01,Public Works Department (PWD) - Roads Division,Pavement Overlay for Public Works Department (PWD) at Mandi,Road Infrastructure,Pavement Overlay,Mandi,Himachal Pradesh,4753363,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-01 11:30:00,2023-05-23 04:30:00,2023-05-31,2023-06-04,2023-06-12,240,AWARDED
T082,B02,National Highways Authority of India (NHAI) - RO Shimla,Administrative Complex for National Highways Authority of India (NHAI) at Dharamshala,Civil Construction,Administrative Complex,Dharamshala,Himachal Pradesh,30606571,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-01 11:30:00,2023-06-02 04:30:00,2023-06-10,2023-06-15,2023-06-20,90,AWARDED
T083,B03,Municipal Corporation Solan - Works Wing,Lift Irrigation Scheme for Municipal Corporation Solan at Chandigarh,Water & Sanitation,Lift Irrigation Scheme,Chandigarh,Himachal Pradesh,95498931,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-02 11:30:00,2023-05-26 04:30:00,2023-05-30,2023-06-05,2023-06-14,240,AWARDED
T084,B04,Rural Development & Panchayati Raj Dept,Solar Microgrid 500kW for Rural Development & Panchayati Raj Dept at Mohali,Electrical & Energy,Solar Microgrid 500kW,Mohali,Himachal Pradesh,45624871,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-04 11:30:00,2023-06-03 04:30:00,2023-06-13,2023-06-19,2023-06-29,90,AWARDED
T085,B05,State Health Infrastructure Development Agency,Bridge Construction for State Health Infrastructure Development Agency at Ludhiana,Road Infrastructure,Bridge Construction,Ludhiana,Himachal Pradesh,143619304,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-05 11:30:00,2023-06-01 04:30:00,2023-06-10,2023-06-13,2023-06-16,365,AWARDED
T086,B06,Jal Shakti / State Water & Sewerage Board,Govt Senior School for Jal Shakti / State Water & Sewerage Board at Ambala,Civil Construction,Govt Senior School,Ambala,Himachal Pradesh,31297555,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-08 11:30:00,2023-06-05 04:30:00,2023-06-14,2023-06-21,2023-06-29,365,AWARDED
T087,B07,Education Engineering Directorate,Lift Irrigation Scheme for Education Engineering Directorate at Panchkula,Water & Sanitation,Lift Irrigation Scheme,Panchkula,Himachal Pradesh,58261074,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-08 11:30:00,2023-06-11 04:30:00,2023-06-19,2023-06-22,2023-06-30,90,AWARDED
T088,B08,State Electricity Board Ltd (HPSEBL),Substation 33/11kV for State Electricity Board Ltd (HPSEBL) at Dehradun,Electrical & Energy,Substation 33/11kV,Dehradun,Himachal Pradesh,143249186,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-09 11:30:00,2023-06-01 04:30:00,2023-06-11,2023-06-18,2023-06-23,540,AWARDED
T089,B01,Public Works Department (PWD) - Roads Division,Rural Road Upgrade for Public Works Department (PWD) at Haridwar,Road Infrastructure,Rural Road Upgrade,Haridwar,Himachal Pradesh,147852297,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-10 11:30:00,2023-06-14 04:30:00,2023-06-23,2023-06-29,2023-07-03,180,AWARDED
T090,B02,National Highways Authority of India (NHAI) - RO Shimla,Community Health Center for National Highways Authority of India (NHAI) at Jaipur,Civil Construction,Community Health Center,Jaipur,Himachal Pradesh,37871949,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-12 11:30:00,2023-06-09 04:30:00,2023-06-16,2023-06-19,2023-06-29,180,AWARDED
T091,B03,Municipal Corporation Solan - Works Wing,Lift Irrigation Scheme for Municipal Corporation Solan at New Delhi,Water & Sanitation,Lift Irrigation Scheme,New Delhi,Himachal Pradesh,59885643,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-15 11:30:00,2023-06-17 04:30:00,2023-06-26,2023-07-01,2023-07-07,540,AWARDED
T092,B04,Rural Development & Panchayati Raj Dept,Solar Microgrid 500kW for Rural Development & Panchayati Raj Dept at Shimla,Electrical & Energy,Solar Microgrid 500kW,Shimla,Himachal Pradesh,69582135,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-15 11:30:00,2023-06-18 04:30:00,2023-06-23,2023-06-29,2023-07-06,180,AWARDED
T093,B05,State Health Infrastructure Development Agency,Highway Widening for State Health Infrastructure Development Agency at Solan,Road Infrastructure,Highway Widening,Solan,Himachal Pradesh,46240942,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-15 11:30:00,2023-06-08 04:30:00,2023-06-16,2023-06-23,2023-06-28,365,AWARDED
T094,B06,Jal Shakti / State Water & Sewerage Board,Administrative Complex for Jal Shakti / State Water & Sewerage Board at Mandi,Civil Construction,Administrative Complex,Mandi,Himachal Pradesh,43829852,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-17 11:30:00,2023-06-10 04:30:00,2023-06-15,2023-06-20,2023-06-24,365,AWARDED
T095,B07,Education Engineering Directorate,Rural Water Supply Pipeline for Education Engineering Directorate at Dharamshala,Water & Sanitation,Rural Water Supply Pipeline,Dharamshala,Himachal Pradesh,95485119,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-18 11:30:00,2023-06-23 04:30:00,2023-06-30,2023-07-07,2023-07-11,365,AWARDED
T096,B08,State Electricity Board Ltd (HPSEBL),HT Transmission Line for State Electricity Board Ltd (HPSEBL) at Chandigarh,Electrical & Energy,HT Transmission Line,Chandigarh,Himachal Pradesh,149456685,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-19 11:30:00,2023-06-16 04:30:00,2023-06-22,2023-06-26,2023-06-29,90,AWARDED
T097,B01,Public Works Department (PWD) - Roads Division,Rural Road Upgrade for Public Works Department (PWD) at Mohali,Road Infrastructure,Rural Road Upgrade,Mohali,Himachal Pradesh,111047285,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-22 11:30:00,2023-06-22 04:30:00,2023-07-01,2023-07-08,2023-07-15,540,AWARDED
T098,B02,National Highways Authority of India (NHAI) - RO Shimla,Administrative Complex for National Highways Authority of India (NHAI) at Ludhiana,Civil Construction,Administrative Complex,Ludhiana,Himachal Pradesh,77724510,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-22 11:30:00,2023-06-16 04:30:00,2023-06-24,2023-06-28,2023-07-08,540,AWARDED
T099,B03,Municipal Corporation Solan - Works Wing,Rural Water Supply Pipeline for Municipal Corporation Solan at Ambala,Water & Sanitation,Rural Water Supply Pipeline,Ambala,Himachal Pradesh,98283557,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-23 11:30:00,2023-06-22 04:30:00,2023-06-30,2023-07-03,2023-07-10,90,AWARDED
T100,B04,Rural Development & Panchayati Raj Dept,Solar Microgrid 500kW for Rural Development & Panchayati Raj Dept at Panchkula,Electrical & Energy,Solar Microgrid 500kW,Panchkula,Himachal Pradesh,31806167,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-25 11:30:00,2023-06-22 04:30:00,2023-07-02,2023-07-06,2023-07-16,540,AWARDED
T101,B05,State Health Infrastructure Development Agency,Bridge Construction for State Health Infrastructure Development Agency at Dehradun,Road Infrastructure,Bridge Construction,Dehradun,Himachal Pradesh,52868951,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-26 11:30:00,2023-06-24 04:30:00,2023-07-01,2023-07-05,2023-07-14,240,AWARDED
T102,B06,Jal Shakti / State Water & Sewerage Board,Administrative Complex for Jal Shakti / State Water & Sewerage Board at Haridwar,Civil Construction,Administrative Complex,Haridwar,Himachal Pradesh,8824506,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-29 11:30:00,2023-06-26 04:30:00,2023-06-30,2023-07-05,2023-07-11,540,AWARDED
T103,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at Jaipur,Water & Sanitation,Stormwater Drainage Network,Jaipur,Himachal Pradesh,9701152,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-29 11:30:00,2023-06-22 04:30:00,2023-07-01,2023-07-05,2023-07-12,90,AWARDED
T104,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at New Delhi,Electrical & Energy,Smart Metering System,New Delhi,Himachal Pradesh,175241382,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-30 11:30:00,2023-07-01 04:30:00,2023-07-09,2023-07-14,2023-07-22,180,AWARDED
T105,B01,Public Works Department (PWD) - Roads Division,Pavement Overlay for Public Works Department (PWD) at Shimla,Road Infrastructure,Pavement Overlay,Shimla,Himachal Pradesh,62714828,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-05-31 11:30:00,2023-06-26 04:30:00,2023-06-30,2023-07-06,2023-07-12,540,AWARDED
T106,B02,National Highways Authority of India (NHAI) - RO Shimla,District Sports Stadium for National Highways Authority of India (NHAI) at Solan,Civil Construction,District Sports Stadium,Solan,Himachal Pradesh,36238805,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-01 11:30:00,2023-07-05 04:30:00,2023-07-14,2023-07-18,2023-07-27,365,AWARDED
T107,B03,Municipal Corporation Solan - Works Wing,Stormwater Drainage Network for Municipal Corporation Solan at Mandi,Water & Sanitation,Stormwater Drainage Network,Mandi,Himachal Pradesh,27519579,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-05 11:30:00,2023-06-30 04:30:00,2023-07-05,2023-07-11,2023-07-15,240,AWARDED
T108,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Dharamshala,Electrical & Energy,Substation 33/11kV,Dharamshala,Himachal Pradesh,146076118,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-05 11:30:00,2023-06-29 04:30:00,2023-07-06,2023-07-11,2023-07-18,365,AWARDED
T109,B05,State Health Infrastructure Development Agency,Bridge Construction for State Health Infrastructure Development Agency at Chandigarh,Road Infrastructure,Bridge Construction,Chandigarh,Himachal Pradesh,101842409,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-05 11:30:00,2023-06-30 04:30:00,2023-07-08,2023-07-11,2023-07-14,180,AWARDED
T110,B06,Jal Shakti / State Water & Sewerage Board,Administrative Complex for Jal Shakti / State Water & Sewerage Board at Mohali,Civil Construction,Administrative Complex,Mohali,Himachal Pradesh,24654617,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-07 11:30:00,2023-07-08 04:30:00,2023-07-16,2023-07-20,2023-07-29,240,AWARDED
T111,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at Ludhiana,Water & Sanitation,Stormwater Drainage Network,Ludhiana,Himachal Pradesh,9325417,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-06-08 11:30:00,2023-07-12 04:30:00,2023-07-22,2023-07-27,2023-08-01,365,AWARDED
T112,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Ambala,Electrical & Energy,Smart Metering System,Ambala,Himachal Pradesh,163254580,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-09 11:30:00,2023-07-10 04:30:00,2023-07-18,2023-07-21,2023-07-27,365,AWARDED
T113,B01,Public Works Department (PWD) - Roads Division,Pavement Overlay for Public Works Department (PWD) at Panchkula,Road Infrastructure,Pavement Overlay,Panchkula,Himachal Pradesh,42642849,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-12 11:30:00,2023-07-11 04:30:00,2023-07-15,2023-07-19,2023-07-25,180,AWARDED
T114,B02,National Highways Authority of India (NHAI) - RO Shimla,Community Health Center for National Highways Authority of India (NHAI) at Dehradun,Civil Construction,Community Health Center,Dehradun,Himachal Pradesh,57373937,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-06-12 11:30:00,2023-07-16 04:30:00,2023-07-25,2023-08-01,2023-08-08,90,AWARDED
T115,B03,Municipal Corporation Solan - Works Wing,Rural Water Supply Pipeline for Municipal Corporation Solan at Haridwar,Water & Sanitation,Rural Water Supply Pipeline,Haridwar,Himachal Pradesh,138053664,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-13 11:30:00,2023-07-09 04:30:00,2023-07-19,2023-07-22,2023-07-29,90,AWARDED
T116,B04,Rural Development & Panchayati Raj Dept,HT Transmission Line for Rural Development & Panchayati Raj Dept at Jaipur,Electrical & Energy,HT Transmission Line,Jaipur,Himachal Pradesh,155714471,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-14 11:30:00,2023-07-15 04:30:00,2023-07-20,2023-07-27,2023-08-02,90,AWARDED
T117,B05,State Health Infrastructure Development Agency,Pavement Overlay for State Health Infrastructure Development Agency at New Delhi,Road Infrastructure,Pavement Overlay,New Delhi,Himachal Pradesh,153206708,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-16 11:30:00,2023-07-14 04:30:00,2023-07-22,2023-07-25,2023-07-31,365,AWARDED
T118,B06,Jal Shakti / State Water & Sewerage Board,Govt Senior School for Jal Shakti / State Water & Sewerage Board at Shimla,Civil Construction,Govt Senior School,Shimla,Himachal Pradesh,42317746,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-19 11:30:00,2023-07-13 04:30:00,2023-07-23,2023-07-26,2023-08-04,365,AWARDED
T119,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at Solan,Water & Sanitation,Stormwater Drainage Network,Solan,Himachal Pradesh,158915080,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-19 11:30:00,2023-07-16 04:30:00,2023-07-20,2023-07-23,2023-07-30,365,AWARDED
T120,B08,State Electricity Board Ltd (HPSEBL),Smart Metering System for State Electricity Board Ltd (HPSEBL) at Mandi,Electrical & Energy,Smart Metering System,Mandi,Himachal Pradesh,20573369,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-20 11:30:00,2023-07-26 04:30:00,2023-08-03,2023-08-07,2023-08-14,90,AWARDED
T121,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Dharamshala,Road Infrastructure,Bridge Construction,Dharamshala,Himachal Pradesh,86117065,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-21 11:30:00,2023-07-17 04:30:00,2023-07-25,2023-08-01,2023-08-09,90,AWARDED
T122,B02,National Highways Authority of India (NHAI) - RO Shimla,Administrative Complex for National Highways Authority of India (NHAI) at Chandigarh,Civil Construction,Administrative Complex,Chandigarh,Himachal Pradesh,11990134,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-22 11:30:00,2023-07-18 04:30:00,2023-07-25,2023-07-28,2023-08-07,240,AWARDED
T123,B03,Municipal Corporation Solan - Works Wing,Sewage Treatment Plant for Municipal Corporation Solan at Mohali,Water & Sanitation,Sewage Treatment Plant,Mohali,Himachal Pradesh,76690057,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-06-23 11:30:00,2023-07-17 04:30:00,2023-07-22,2023-07-27,2023-07-31,540,AWARDED
T124,B04,Rural Development & Panchayati Raj Dept,Solar Microgrid 500kW for Rural Development & Panchayati Raj Dept at Ludhiana,Electrical & Energy,Solar Microgrid 500kW,Ludhiana,Himachal Pradesh,131987190,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-26 11:30:00,2023-07-25 04:30:00,2023-08-04,2023-08-08,2023-08-15,540,AWARDED
T125,B05,State Health Infrastructure Development Agency,Pavement Overlay for State Health Infrastructure Development Agency at Ambala,Road Infrastructure,Pavement Overlay,Ambala,Himachal Pradesh,58706887,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-26 11:30:00,2023-07-28 04:30:00,2023-08-03,2023-08-08,2023-08-15,365,AWARDED
T126,B06,Jal Shakti / State Water & Sewerage Board,Govt Senior School for Jal Shakti / State Water & Sewerage Board at Panchkula,Civil Construction,Govt Senior School,Panchkula,Himachal Pradesh,40334785,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-27 11:30:00,2023-07-29 04:30:00,2023-08-08,2023-08-14,2023-08-24,540,AWARDED
T127,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at Dehradun,Water & Sanitation,Stormwater Drainage Network,Dehradun,Himachal Pradesh,17356606,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-29 11:30:00,2023-07-31 04:30:00,2023-08-06,2023-08-13,2023-08-16,90,AWARDED
T128,B08,State Electricity Board Ltd (HPSEBL),HT Transmission Line for State Electricity Board Ltd (HPSEBL) at Haridwar,Electrical & Energy,HT Transmission Line,Haridwar,Himachal Pradesh,175905651,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-06-30 11:30:00,2023-07-26 04:30:00,2023-08-05,2023-08-08,2023-08-11,365,AWARDED
T129,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Jaipur,Road Infrastructure,Bridge Construction,Jaipur,Himachal Pradesh,55329393,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-07-03 11:30:00,2023-07-25 04:30:00,2023-07-29,2023-08-05,2023-08-09,540,AWARDED
T130,B02,National Highways Authority of India (NHAI) - RO Shimla,Govt Senior School for National Highways Authority of India (NHAI) at New Delhi,Civil Construction,Govt Senior School,New Delhi,Himachal Pradesh,15630297,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-07-03 11:30:00,2023-08-08 04:30:00,2023-08-15,2023-08-20,2023-08-24,90,AWARDED
T131,B03,Municipal Corporation Solan - Works Wing,Sewage Treatment Plant for Municipal Corporation Solan at Shimla,Water & Sanitation,Sewage Treatment Plant,Shimla,Himachal Pradesh,120553338,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-07-04 11:30:00,2023-08-01 04:30:00,2023-08-11,2023-08-14,2023-08-20,365,AWARDED
T132,B04,Rural Development & Panchayati Raj Dept,Substation 33/11kV for Rural Development & Panchayati Raj Dept at Solan,Electrical & Energy,Substation 33/11kV,Solan,Himachal Pradesh,55332932,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-05 11:30:00,2023-07-27 04:30:00,2023-08-05,2023-08-12,2023-08-18,90,AWARDED
T133,B05,State Health Infrastructure Development Agency,Highway Widening for State Health Infrastructure Development Agency at Mandi,Road Infrastructure,Highway Widening,Mandi,Himachal Pradesh,152054256,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-06 11:30:00,2023-07-30 04:30:00,2023-08-06,2023-08-10,2023-08-13,540,AWARDED
T134,B06,Jal Shakti / State Water & Sewerage Board,Administrative Complex for Jal Shakti / State Water & Sewerage Board at Dharamshala,Civil Construction,Administrative Complex,Dharamshala,Himachal Pradesh,120181281,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-07-10 11:30:00,2023-08-05 04:30:00,2023-08-11,2023-08-18,2023-08-28,90,AWARDED
T135,B07,Education Engineering Directorate,Sewage Treatment Plant for Education Engineering Directorate at Chandigarh,Water & Sanitation,Sewage Treatment Plant,Chandigarh,Himachal Pradesh,162301280,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-07-10 11:30:00,2023-08-08 04:30:00,2023-08-18,2023-08-24,2023-08-31,365,AWARDED
T136,B08,State Electricity Board Ltd (HPSEBL),Solar Microgrid 500kW for State Electricity Board Ltd (HPSEBL) at Mohali,Electrical & Energy,Solar Microgrid 500kW,Mohali,Himachal Pradesh,127989799,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-10 11:30:00,2023-08-13 04:30:00,2023-08-18,2023-08-24,2023-08-29,240,AWARDED
T137,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Ludhiana,Road Infrastructure,Bridge Construction,Ludhiana,Himachal Pradesh,54060779,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-12 11:30:00,2023-08-17 04:30:00,2023-08-24,2023-08-27,2023-08-31,180,AWARDED
T138,B02,National Highways Authority of India (NHAI) - RO Shimla,Administrative Complex for National Highways Authority of India (NHAI) at Ambala,Civil Construction,Administrative Complex,Ambala,Himachal Pradesh,48157746,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-13 11:30:00,2023-08-13 04:30:00,2023-08-18,2023-08-25,2023-09-01,180,AWARDED
T139,B03,Municipal Corporation Solan - Works Wing,Stormwater Drainage Network for Municipal Corporation Solan at Panchkula,Water & Sanitation,Stormwater Drainage Network,Panchkula,Himachal Pradesh,122176800,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-14 11:30:00,2023-08-10 04:30:00,2023-08-19,2023-08-22,2023-09-01,180,AWARDED
T140,B04,Rural Development & Panchayati Raj Dept,Smart Metering System for Rural Development & Panchayati Raj Dept at Dehradun,Electrical & Energy,Smart Metering System,Dehradun,Himachal Pradesh,5276738,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-17 11:30:00,2023-08-14 04:30:00,2023-08-23,2023-08-28,2023-09-06,365,AWARDED
T141,B05,State Health Infrastructure Development Agency,Rural Road Upgrade for State Health Infrastructure Development Agency at Haridwar,Road Infrastructure,Rural Road Upgrade,Haridwar,Himachal Pradesh,55526772,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-17 11:30:00,2023-08-20 04:30:00,2023-08-29,2023-09-02,2023-09-06,180,AWARDED
T142,B06,Jal Shakti / State Water & Sewerage Board,Community Health Center for Jal Shakti / State Water & Sewerage Board at Jaipur,Civil Construction,Community Health Center,Jaipur,Himachal Pradesh,35422938,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-18 11:30:00,2023-08-23 04:30:00,2023-08-29,2023-09-01,2023-09-05,90,AWARDED
T143,B07,Education Engineering Directorate,Stormwater Drainage Network for Education Engineering Directorate at New Delhi,Water & Sanitation,Stormwater Drainage Network,New Delhi,Himachal Pradesh,130930473,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-19 11:30:00,2023-08-15 04:30:00,2023-08-24,2023-08-31,2023-09-05,90,AWARDED
T144,B08,State Electricity Board Ltd (HPSEBL),Solar Microgrid 500kW for State Electricity Board Ltd (HPSEBL) at Shimla,Electrical & Energy,Solar Microgrid 500kW,Shimla,Himachal Pradesh,121090393,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-21 11:30:00,2023-08-20 04:30:00,2023-08-29,2023-09-01,2023-09-05,365,AWARDED
T145,B01,Public Works Department (PWD) - Roads Division,Pavement Overlay for Public Works Department (PWD) at Solan,Road Infrastructure,Pavement Overlay,Solan,Himachal Pradesh,12320735,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-24 11:30:00,2023-08-17 04:30:00,2023-08-25,2023-08-30,2023-09-04,180,AWARDED
T146,B02,National Highways Authority of India (NHAI) - RO Shimla,Community Health Center for National Highways Authority of India (NHAI) at Mandi,Civil Construction,Community Health Center,Mandi,Himachal Pradesh,91041323,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-24 11:30:00,2023-08-15 04:30:00,2023-08-22,2023-08-28,2023-09-06,365,AWARDED
T147,B03,Municipal Corporation Solan - Works Wing,Sewage Treatment Plant for Municipal Corporation Solan at Dharamshala,Water & Sanitation,Sewage Treatment Plant,Dharamshala,Himachal Pradesh,174742053,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-25 11:30:00,2023-08-24 04:30:00,2023-09-03,2023-09-10,2023-09-19,90,AWARDED
T148,B04,Rural Development & Panchayati Raj Dept,HT Transmission Line for Rural Development & Panchayati Raj Dept at Chandigarh,Electrical & Energy,HT Transmission Line,Chandigarh,Himachal Pradesh,27725974,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-26 11:30:00,2023-08-20 04:30:00,2023-08-28,2023-08-31,2023-09-08,540,AWARDED
T149,B05,State Health Infrastructure Development Agency,Highway Widening for State Health Infrastructure Development Agency at Mohali,Road Infrastructure,Highway Widening,Mohali,Himachal Pradesh,172977450,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-27 11:30:00,2023-08-23 04:30:00,2023-09-02,2023-09-08,2023-09-11,90,AWARDED
T150,B06,Jal Shakti / State Water & Sewerage Board,Govt Senior School for Jal Shakti / State Water & Sewerage Board at Ludhiana,Civil Construction,Govt Senior School,Ludhiana,Himachal Pradesh,9665986,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-31 11:30:00,2023-09-05 04:30:00,2023-09-13,2023-09-20,2023-09-26,365,AWARDED
T151,B07,Education Engineering Directorate,Lift Irrigation Scheme for Education Engineering Directorate at Ambala,Water & Sanitation,Lift Irrigation Scheme,Ambala,Himachal Pradesh,73776259,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-07-31 11:30:00,2023-08-25 04:30:00,2023-09-02,2023-09-08,2023-09-14,365,AWARDED
T152,B08,State Electricity Board Ltd (HPSEBL),HT Transmission Line for State Electricity Board Ltd (HPSEBL) at Panchkula,Electrical & Energy,HT Transmission Line,Panchkula,Himachal Pradesh,138723480,Limited Tender,Lowest Evaluated Responsive Bid (L1),2023-07-31 11:30:00,2023-08-29 04:30:00,2023-09-04,2023-09-10,2023-09-15,540,AWARDED
T153,B01,Public Works Department (PWD) - Roads Division,Bridge Construction for Public Works Department (PWD) at Dehradun,Road Infrastructure,Bridge Construction,Dehradun,Himachal Pradesh,160716581,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-08-01 11:30:00,2023-08-26 04:30:00,2023-09-03,2023-09-06,2023-09-11,90,AWARDED
T154,B02,National Highways Authority of India (NHAI) - RO Shimla,Community Health Center for National Highways Authority of India (NHAI) at Haridwar,Civil Construction,Community Health Center,Haridwar,Himachal Pradesh,150376128,Open Competitive Bidding,Lowest Evaluated Responsive Bid (L1),2023-08-03 11:30:00,2023-09-03 04:30:00,2023-09-10,2023-09-13,2023-09-22,180,AWARDED
